,,
Question,Answer,Difficulty
What are the positively charged subatomic particles that lie in the nucleus of an atom?,Protons,Easy
What are the neutrally charged subatomic particles that lie in the nucleus of an atom?,Neutrons,Easy
What are the negatively charged subatomic particles that circle the nucleus of an atom?,Electrons,Easy
Does the following pair of atoms have the same number of protons: 37/17 Cl and 38/18 Ar,No,Easy
Does the following pair of atoms have the same number of neutrons: 37/17 Cl and 38/18 Ar,Yes,Easy
Does the following pair of atoms have the same number of electrons: 37/17 Cl and 38/18 Ar,No,Easy
Does the following pair of atoms have the same number of protons: 36/16 S and 34/16 S,Yes,Easy
Does the following pair of atoms have the same number of neutrons: 36/16 S and 34/16 S,No,Easy
Does the following pair of atoms have the same number of electrons: 36/16 S and 34/16 S,Yes,Easy
Does the following pair of atoms have the same number of protons: 79/34 Se and 81/35 Br,No,Easy
Does the following pair of atoms have the same number of neutrons: 79/34 Se and 81/35 Br,No,Easy
Does the following pair of atoms have the same number of electrons: 79/34 Se and 81/35 Br,No,Easy
Does the following pair of atoms have the same number of protons: 40/18 Ar and 39/17 Cl,No,Easy
Does the following pair of atoms have the same number of neutrons: 40/18 Ar and 39/17 Cl,Yes,Easy
Does the following pair of atoms have the same number of electrons: 40/18 Ar and 39/17 Cl,No,Easy
28/14 Si (27.977 amu) has an abundance of 92.23% - 29/14 Si (28.976 amu) has an abundance of 4.68% - 30/14 Si (29.974 amu) has an abundance of 3.09% - What is the atomic weight of Si (4 sig figs)?,28.09 amu,Hard
Antimony (Sb) (which has an atomic weight of 121.75 amu) has two naturally occurring isotopes: Sb-121 and Sb-123. If a sample of antimony is 42.70% Sb-123(which has a mass of 122.90 amu)/  what is the mass of Sb-121 (4 sig figs)?,120.9 amu,Hard
What are the rows of a periodic table called?,Periods,Easy
What are the columns of a periodic table called?,Groups,Easy
Is Aluminum a metal or nonmetal?,Metal,Easy
Is Iron a metal or nonmetal?,Metal,Easy
Is Sodium a metal or nonmetal?,Metal,Easy
Is Magnesium a metal or nonmetal?,Metal,Easy
Is Potassium a metal or nonmetal?,Metal,Easy
Is Titanium a metal or nonmetal?,Metal,Easy
Is Oxygen a metal or nonmetal?,Nonmetal,Easy
Is Carbon a metal or nonmetal?,Nonmetal,Easy
Is Hydrogen a metal or nonmetal?,Nonmetal,Easy
Is Nitrogen a metal or nonmetal?,Nonmetal,Easy
Is Phosphorus a metal or nonmetal?,Nonmetal,Easy
Is Sulfur a metal or nonmetal?,Nonmetal,Easy
Is SiO2 a ionic or covalent compound?,Covalent Compound,Easy
Is K2S a ionic or covalent compound?,Ionic Compound,Easy
Is C2H6 a ionic or covalent compound?,Covalent Compound,Easy
Is Al2O3 a ionic or covalent compound?,Ionic Compound,Easy
Is MgBr2 a ionic or covalent compound?,Ionic Compound,Easy
Is CO2 a ionic or covalent compound?,Covalent Compound,Easy
Is SF4 a ionic or covalent compound?,Covalent Compound,Easy
Is SrO a ionic or covalent compound?,Ionic Compound,Easy
What is the empirical formula for P4O10?,P2O5,Easy
What is the empirical formula for C10H22?,C5H11,Easy
What is the empirical formula for C6H18O3?,C3H6O,Easy
What is the empirical formula for C5H12O?,C5H12O,Easy
What is the empirical formula for N2O4?,NO2,Easy
Name the following: NH4Cl,Ammonium Chloride,Easy
Name the following: Fe(NO3)3,Iron (III) Nitrate,Easy
Name the following: TiBr3,Titanium (III) Bromide,Easy
Name the following: Cu3P,Copper (I) Phosphide,Easy
Name the following: SnSe2,Tin (IV) Selenide,Easy
Name the following: GaAs,Gallium Arsenide,Easy
Name the following: Pb(SO4)2,Lead (IV) Sulfate,Easy
Name the following: Be(HCO3)2,Beryllium Bicarbonate,Easy
Name the following: Mn2(SO3)3,Manganese (III) Sulfite,Easy
Name the following: Al(CN)3,Aluminum Cyanide,Easy
Write the formula for chromium (VI) phosphate,Cr(PO4)2,Easy
Write the formula for vanadium (IV) carbonate,V(CO3)2,Easy
Write the formula for tin (II) nitrite,Sn(NO2)2,Easy
Write the formula for cobalt (III) oxide,Co2O3,Easy
Write the formula for titanium (II) acetate,Ti(C2H3O2)2,Easy
Write the formula for vanadium (V) sulfide,V2S5,Easy
Write the formula for chromium (III) hydroxide,Cr(OH)3,Easy
Write the formula for lithium iodide,LiI,Easy
Write the formula for lead (II) nitride,Pb3N2,Easy
Write the formula for silver bromide,AgBr,Easy
Name the following: NF3,Nitrogen Trifluoride,Easy
Name the following: P2O5,Diphosphorus Pentoxide,Easy
Name the following: Si2Br6,Disilicon Hexabromide,Easy
Name the following: CO,Carbon Monoxide,Easy
Name the following: SeF6,Selenium Hexafluoride,Easy
Name the following: OBr2,Oxygen Dibromide,Easy
Name the following: BF3,Boron Trifluoride,Easy
Name the following: PI3,Phosphorus Triiodide,Easy
Name the following: NO,Nitrogen Monoxide,Easy
Name the following: B6Si,Hexaboron Monosilicide,Easy
Write the formula for carbon disulfide,CS2,Easy
Write the formula for antimony tribromide,SbBr3,Easy
Write the formula for chlorine dioxide,ClO2,Easy
Write the formula for dinitrogen trioxide,N2O3,Easy
Write the formula for dinitrogen trisulfide,N2S3,Easy
Write the formula for sulfur tetrachloride,SCl4,Easy
Write the formula for tetraphosphorus pentasulfide,P4S5,Easy
Write the formula for sulfur dioxide,SO2,Easy
Write the formula for carbon tetrachloride,CCl4,Easy
Write the formula for phosphorus pentabromide,PBr5,Easy
Name the following: C4H10,Butane,Easy
Name the following: C2H6,Ethane,Easy
Name the following: C7H16,Heptane,Easy
Name the following: C3H8O,Propanol,Easy
Name the following: C5H12O,Pentanol,Easy
Write the formula for methane,CH4,Easy
Write the formula for 1-octanol,C8H18O,Easy
Write the formula for hexane,C6H14,Easy
Write the formula for ethanol,C2H6O,Easy
Write the formula for decane,C10H22,Easy
